Aktivitetstyp,Datum,Favorit,Namn,Distans,Kalorier,Tid,Medelpuls,Maxpuls,Aerobisk Training Effect,Medelcykelkadens,Maximal cykelkadens,Medelfart,Maxfart,Total stigning,Totalt nedför,Medelsteglängd,Medelvärde för vertikal kvot,Medelvärde för vertikal rörelse,Medeltid för markkontakt,Medelkontakttidsbalans,Training Stress Score®,Steg,Dekompression,Bästa varvtid,Antal varv,Medestress,Maxbelastning,Färdtid,Total tid,Min. höjd,Max. höjd
Konditionspass,2026-01-27 19:15:04,false,"Kondition","1.69","584","00:43:10","136","166","3.7","119","255","2.3","26.8","--","--","1.07","9.5","10.6","405","50.4% vänster/49.6% höger","0.0","1,460","Nej","00:43:10","1","--","--","00:12:31","00:43:10","--","--"
Cykling,2026-01-27 16:41:47,false,"Lund Cykling","8.28","337","00:23:51","132","145","2.8","--","--","20.8","33.5","214","62","--","--","--","--","--","0.0","--","Nej","00:08:43.2","2","--","--","00:22:24","00:23:51","-133","68"
Cykling,2026-01-27 07:26:10,false,"Staffanstorp Cykling","8.30","419","00:35:05","121","139","2.3","--","--","14.2","25.5","55","8","--","--","--","--","--","0.0","--","Nej","00:14:27","2","--","--","00:34:14","00:35:05","11","69"
Längdskidåkning klassisk stil,2026-01-26 18:53:04,false,"Staffanstorp Längdskidåkning klassisk stil","11.32","723","01:08:35","118","130","2.2","66","242","9.9","20.2","29","28","0.00","0.0","12.8","644","51.6% vänster/48.4% höger","0.0","1,770","Nej","00:06:10.7","3","--","--","01:03:26","01:08:35","14","32"
Cykling,2026-01-26 16:44:36,false,"Lund Cykling","8.20","261","00:25:08","113","124","1.7","--","--","19.6","32.8","9","56","--","--","--","--","--","0.0","--","Nej","00:08:46.8","2","--","--","00:23:40","00:25:08","14","67"
Cykling,2026-01-26 07:13:03,false,"Staffanstorp Cykling","8.35","414","00:34:47","122","134","2.3","--","--","14.4","29.2","56","9","--","--","--","--","--","0.0","--","Nej","00:15:43","2","--","--","00:33:00","00:34:47","14","71"
Konditionspass,2026-01-23 07:00:32,false,"Kondition","0.00","485","01:01:37","105","152","1.5","118","241","--","--","--","--","0.00","--","--","--","--","0.0","3,148","Nej","01:01:37","1","--","--","00:00:00","01:01:37","--","--"
Konditionspass,2026-01-22 21:02:20,false,"Kondition","0.00","720","01:43:28","103","148","1.8","120","235","--","--","--","--","0.00","--","--","--","--","0.0","5,226","Nej","01:43:28","1","--","--","00:00:00","01:43:28","--","--"
Cykling,2026-01-22 15:15:17,false,"Lund Cykling","10.44","459","00:41:45","121","147","2.4","--","--","15.0","32.3","25","61","--","--","--","--","--","0.0","--","Nej","00:06:41.6","3","--","--","00:33:46","00:41:45","11","67"
Cykling,2026-01-22 07:48:18,false,"Staffanstorp Cykling","10.76","474","00:41:49","121","137","2.4","--","--","15.4","27.9","122","85","--","--","--","--","--","0.0","--","Nej","00:08:05.0","3","--","--","00:36:35","00:41:49","-46","71"
