Aktivitetstyp,Datum,Favorit,Namn,Distans,Kalorier,Tid,Medelpuls,Maxpuls,Aerobisk Training Effect,Medelcykelkadens,Maximal cykelkadens,Medelfart,Maxfart,Total stigning,Totalt nedför,Medelsteglängd,Medelvärde för vertikal kvot,Medelvärde för vertikal rörelse,Medeltid för markkontakt,Medelkontakttidsbalans,Training Stress Score®,Steg,Dekompression,Bästa varvtid,Antal varv,Medestress,Maxbelastning,Färdtid,Total tid,Min. höjd,Max. höjd
Cykling,2025-12-07 16:10:53,false,"Burlöv Cykling","3.57","222","00:19:53","117","126","2.1","--","--","10.8","23.0","21","12","--","--","--","--","--","0.0","--","Nej","00:19:53","1","--","--","00:12:40","00:19:53","-9","26"
Konditionspass,2025-12-07 15:11:42,false,"Kondition","0.00","361","00:50:22","100","136","1.7","122","245","--","--","--","--","0.00","--","--","--","--","0.0","2,608","Nej","00:50:22","1","--","--","00:00:00","00:50:22","--","--"
Cykling,2025-12-07 14:43:42,false,"Staffanstorp Cykling","3.70","166","00:15:54","112","121","1.8","--","--","14.0","31.2","4","14","--","--","--","--","--","0.0","--","Nej","00:04:01.0","2","--","--","00:12:04","00:15:54","-9","25"
Längdskidåkning klassisk stil,2025-12-06 09:54:16,false,"Staffanstorp Längdskidåkning klassisk stil","23.54","1,253","01:50:34","128","143","3.0","70","248","12.8","22.7","58","57","1.35","12.6","18.2","621","41.5% vänster/58.5% höger","0.0","3,038","Nej","00:17:19","5","--","--","01:40:52","01:50:34","10","35"
Cykling,2025-11-23 16:07:30,false,"Burlöv Cykling","3.83","219","00:34:11","111","151","2.1","--","--","6.7","25.9","17","6","--","--","--","--","--","0.0","--","Nej","00:34:11","1","--","--","00:13:00","00:34:11","8","25"
Konditionspass,2025-11-23 15:01:55,false,"Kondition","0.00","256","00:58:14","79","128","1.2","113","196","--","--","--","--","0.00","--","--","--","--","0.0","3,176","Nej","00:58:14","1","--","--","00:00:00","00:58:15","--","--"
Cykling,2025-11-23 14:44:22,false,"Staffanstorp Cykling","3.64","110","00:11:31","108","120","1.3","--","--","19.0","27.9","23","12","--","--","--","--","--","0.0","--","Nej","00:11:31","1","--","--","00:10:52","00:11:31","-1","25"
Konditionspass,2025-11-21 06:59:55,false,"Kondition","0.00","435","00:59:38","103","157","1.6","117","245","--","--","--","--","0.00","--","--","--","--","0.0","3,038","Nej","00:59:38","1","--","--","00:00:00","00:59:38","--","--"
Konditionspass,2025-11-20 21:01:53,false,"Kondition","0.00","808","01:47:48","106","155","1.9","116","250","--","--","--","--","0.00","--","--","--","--","0.0","5,658","Nej","01:47:48","1","--","--","00:00:00","01:47:48","--","--"
Cykling,2025-11-20 16:53:22,false,"Lund Cykling","8.32","350","00:31:30","119","134","2.2","--","--","15.8","27.4","8","55","--","--","--","--","--","0.0","--","Nej","00:12:05","2","--","--","00:29:29","00:31:30","14","67"
Cykling,2025-11-20 07:56:04,false,"Staffanstorp Cykling","8.53","314","00:34:45","110","122","1.6","--","--","14.7","25.0","55","28","--","--","--","--","--","0.0","--","Nej","00:15:48","2","--","--","00:32:14","00:34:45","14","69"
Längdskidåkning klassisk stil,2025-11-19 19:31:11,false,"Staffanstorp Längdskidåkning klassisk stil","15.51","794","01:29:35","113","143","2.2","62","255","10.4","19.3","45","49","1.00","12.9","14.1","576","43.8% vänster/56.2% höger","0.0","3,862","Nej","00:02:17.8","14","--","--","01:25:51","01:29:36","14","32"
Löpning,2025-11-18 17:16:12,false,"Stockholm Löpning","8.22","603","00:53:45","128","153","2.7","160","185","6:32","4:23","72","66","1.01","8.9","9.1","290","47.8% vänster/52.2% höger","0.0","2","Nej","00:01:38.0","9","--","--","00:52:22","00:53:45","-0","32"
Längdskidåkning klassisk stil,2025-11-17 18:04:21,false,"Lund Längdskidåkning klassisk stil","33.47","1,354","02:24:27","123","153","3.0","73","250","13.9","27.9","184","180","0.00","0.0","15.1","535","42.1% vänster/57.9% höger","0.0","6,994","Nej","00:15:05","7","--","--","02:16:04","02:24:27","25","93"
Cykling,2025-11-17 16:13:02,false,"Lund Cykling","8.27","220","00:23:37","108","120","1.5","--","--","21.0","35.0","7","53","--","--","--","--","--","0.0","--","Nej","00:09:25.4","2","--","--","00:22:30","00:23:37","14","67"
Cykling,2025-11-17 07:06:13,false,"Staffanstorp Cykling","8.36","282","00:28:11","113","137","1.8","--","--","17.8","30.8","50","4","--","--","--","--","--","0.0","--","Nej","00:12:55","2","--","--","00:27:07","00:28:11","14","68"
Konditionspass,2025-11-14 07:06:07,false,"Kondition","0.00","441","00:57:16","111","152","1.6","122","245","--","--","--","--","0.00","--","--","--","--","0.0","2,358","Nej","00:57:16","1","--","--","00:00:00","00:57:16","--","--"
Konditionspass,2025-11-13 21:00:59,false,"Kondition","0.00","401","00:59:59","103","142","1.4","119","240","--","--","--","--","0.00","--","--","--","--","0.0","3,342","Nej","00:59:59","1","--","--","00:00:00","00:59:59","--","--"
Löpning,2025-11-13 17:00:35,false,"Tröskeltest + VO2 max ","7.00","602","00:49:53","133","166","3.2","160","248","7:08","4:05","--","--","1.02","8.8","9.1","285","48.7% vänster/51.3% höger","0.0","6,278","Nej","00:00:02.5","8","--","--","00:47:52","00:49:53","--","--"
Cykling,2025-11-11 19:10:31,false,"Lund Cykling","8.59","274","00:37:41","102","120","1.5","--","--","13.7","30.8","27","64","--","--","--","--","--","0.0","--","Nej","00:17:46","2","--","--","00:27:39","00:42:17","7","59"
Löpning,2025-11-11 17:34:28,false,"Lund Löpning","7.77","804","01:35:10","114","158","2.5","130","226","12:15","2:13","191","200","0.81","11.0","8.8","409","48.8% vänster/51.2% höger","0.0","8,932","Nej","00:07:35.7","8","--","--","01:05:47","01:35:10","52","74"
Cykling,2025-11-11 06:49:55,false,"Staffanstorp Cykling","8.64","345","00:29:11","126","147","2.6","--","--","17.8","29.7","56","9","--","--","--","--","--","0.0","--","Nej","00:14:08","2","--","--","00:28:40","00:30:45","14","70"
Längdskidåkning klassisk stil,2025-11-10 18:02:56,false,"Lund Längdskidåkning klassisk stil","31.97","423","02:13:42","126","154","1.0","77","255","14.3","26.6","139","138","0.00","0.0","14.0","566","54.7% vänster/45.3% höger","0.0","5,592","Nej","00:09:46.3","7","--","--","02:02:45","02:13:42","24","90"
Cykling,2025-11-10 16:30:05,false,"Lund Cykling","8.27","281","00:21:59","126","157","2.5","--","--","22.6","33.7","8","58","--","--","--","--","--","0.0","--","Nej","00:08:56.9","2","--","--","00:21:48","00:21:59","14","67"
Cykling,2025-11-10 07:24:32,false,"Staffanstorp Cykling","8.27","291","00:24:51","121","129","2.1","--","--","20.0","33.5","53","8","--","--","--","--","--","0.0","--","Nej","00:11:06","2","--","--","00:24:35","00:24:51","14","71"
Cykling,2025-11-09 16:08:03,false,"Burlöv Cykling","3.59","111","00:11:11","109","118","1.4","--","--","19.3","29.6","14","4","--","--","--","--","--","0.0","--","Nej","00:11:11","1","--","--","00:11:07","00:11:11","8","25"
Konditionspass,2025-11-09 15:00:22,false,"Kondition","0.00","357","01:02:35","96","151","1.2","118","245","--","--","--","--","0.00","--","--","--","--","0.0","2,922","Nej","01:02:35","1","--","--","00:00:00","01:02:35","--","--"
Cykling,2025-11-09 14:48:01,false,"Staffanstorp Cykling","3.62","103","00:09:22.6","114","125","1.5","--","--","23.1","31.9","4","12","--","--","--","--","--","0.0","--","Nej","00:09:22.6","1","--","--","00:09:13","00:11:14","8","25"
Längdskidåkning klassisk stil,2025-11-08 09:54:28,false,"Staffanstorp Längdskidåkning klassisk stil","46.02","1,360","03:36:31","106","130","1.5","70","248","12.8","25.1","203","203","1.01","11.0","11.8","551","48.7% vänster/51.3% höger","0.0","6,070","Nej","00:04:12.8","10","--","--","03:28:19","03:36:31","14","90"
Löpning,2025-11-07 17:02:14,false,"10x1000 m löpning intervall ","11.42","752","01:00:46","138","158","3.5","162","179","5:19","4:10","30","31","1.13","7.9","9.0","246","48.1% vänster/51.9% höger","0.0","9,698","Nej","00:00:48.0","22","--","--","01:00:42","01:00:46","15","32"
Löpning,2025-11-06 17:28:08,false,"Höganäs Löpning","5.52","445","00:46:41","122","153","2.1","151","192","8:27","5:31","110","111","0.82","10.7","8.5","324","48.0% vänster/52.0% höger","0.0","10","Nej","00:03:42.6","6","--","--","00:43:10","00:46:41","4","51"
Cykling,2025-11-05 15:59:49,false,"Lund Cykling","8.16","258","00:23:39","119","138","2.1","--","--","20.7","36.0","9","58","--","--","--","--","--","0.0","--","Nej","00:09:34.2","2","--","--","00:22:38","00:23:39","14","67"
Cykling,2025-11-05 07:34:45,false,"Staffanstorp Cykling","8.32","256","00:28:26","112","140","1.8","--","--","17.6","31.1","59","7","--","--","--","--","--","0.0","--","Nej","00:13:06","2","--","--","00:26:37","00:28:26","14","71"
Löpning,2025-11-04 17:34:44,false,"Lund Löpning","9.44","1,184","01:43:49","136","180","4.2","138","240","11:00","3:28","123","130","0.66","--","--","--","--","0.0","11,368","Nej","00:07:11.2","10","--","--","01:22:35","01:43:49","52","74"
Konditionspass,2025-11-04 07:05:09,false,"Kondition","0.00","391","01:01:48","103","137","1.3","117","232","--","--","--","--","0.00","--","--","--","--","0.0","3,130","Nej","01:01:48","1","--","--","00:00:00","01:01:48","--","--"
Längdskidåkning klassisk stil,2025-11-03 18:00:17,false,"Lund Längdskidåkning klassisk stil","33.60","1,417","02:30:51","126","174","3.2","108","218","13.4","25.3","165","163","2.07","--","--","--","--","0.0","18,908","Nej","00:16:34","7","--","--","02:23:41","02:30:51","19","90"
Cykling,2025-11-03 16:17:58,false,"Lund Cykling","8.23","255","00:23:42","116","130","2.0","--","--","20.8","33.5","2","49","--","--","--","--","--","0.0","--","Nej","00:08:58.7","2","--","--","00:22:30","00:23:42","14","67"
Cykling,2025-11-03 07:15:11,false,"Staffanstorp Cykling","8.23","399","00:26:01","150","166","3.5","--","--","19.0","31.8","54","9","--","--","--","--","--","0.0","--","Nej","00:11:39","2","--","--","00:25:51","00:26:01","14","70"
Cykling,2025-10-31 14:13:16,false,"Lund Cykling","8.27","281","00:29:32","113","132","1.9","--","--","16.8","32.7","13","62","--","--","--","--","--","0.0","--","Nej","00:13:33","2","--","--","00:23:03","00:29:32","15","67"
Konditionspass,2025-10-31 07:07:18,false,"Kondition","0.00","252","00:54:06","87","119","1.1","116","235","--","--","--","--","0.00","--","--","--","--","0.0","2,118","Nej","00:54:06","1","--","--","00:00:00","00:54:06","--","--"
Cykling,2025-10-31 06:36:15,false,"Staffanstorp Cykling","8.22","277","00:27:12","114","126","1.8","--","--","18.1","30.5","61","11","--","--","--","--","--","0.0","--","Nej","00:12:09","2","--","--","00:26:18","00:27:12","14","71"
Cykling,2025-10-30 16:44:24,false,"Lund Cykling","6.41","490","00:47:54","125","170","2.5","--","--","8.0","28.5","21","46","--","--","--","--","--","0.0","--","Nej","00:04:52.7","2","--","--","00:20:37","00:47:55","14","46"
Cykling,2025-10-30 07:35:52,false,"Staffanstorp Cykling","8.25","301","00:31:37","112","127","1.8","--","--","15.7","29.6","65","11","--","--","--","--","--","0.0","--","Nej","00:15:34","2","--","--","00:28:07","00:31:37","11","71"
Längdskidåkning klassisk stil,2025-10-29 18:01:38,false,"Lund Längdskidåkning klassisk stil","17.23","832","01:52:31","111","145","2.0","81","252","9.2","21.6","116","115","0.00","0.0","13.2","531","51.7% vänster/48.3% höger","0.0","3,942","Nej","00:14:24","4","--","--","01:23:44","01:52:32","24","59"
Cykling,2025-10-29 16:39:38,false,"Lund Cykling","8.20","262","00:24:36","117","134","2.0","--","--","20.0","33.1","9","58","--","--","--","--","--","0.0","--","Nej","00:10:01","2","--","--","00:23:49","00:24:36","14","67"
Cykling,2025-10-29 07:17:22,false,"Staffanstorp Cykling","8.35","263","00:26:19","114","149","2.0","--","--","19.0","34.3","58","11","--","--","--","--","--","0.0","--","Nej","00:12:36","2","--","--","00:24:54","00:26:19","14","71"
Löpning,2025-10-28 17:14:22,false,"Lund Löpning","10.87","1,003","02:09:24","111","156","2.4","123","255","11:54","3:55","193","195","0.86","11.4","9.6","423","49.2% vänster/50.8% höger","0.0","12,312","Nej","00:07:01.0","11","--","--","01:36:53","02:09:24","51","74"
Konditionspass,2025-10-28 06:59:54,false,"Kondition","0.00","413","01:08:55","101","133","1.3","120","248","--","--","--","--","0.00","--","--","--","--","0.0","3,610","Nej","01:08:55","1","--","--","00:00:00","01:08:55","--","--"
Längdskidåkning klassisk stil,2025-10-27 18:34:57,false,"Lund Längdskidåkning klassisk stil","19.75","714","01:41:57","109","140","1.8","72","236","11.6","25.4","110","109","0.00","0.0","12.6","541","37.8% vänster/62.2% höger","0.0","4,178","Nej","00:24:26","4","--","--","01:34:40","01:41:57","33","105"
Cykling,2025-10-27 16:21:40,false,"Lund Cykling","8.21","363","00:25:44","139","176","3.2","--","--","19.1","36.3","3","51","--","--","--","--","--","0.0","--","Nej","00:11:38","2","--","--","00:22:40","00:25:44","14","67"
Cykling,2025-10-27 07:33:11,false,"Staffanstorp Cykling","8.31","188","00:27:21","95","114","1.3","--","--","18.2","33.3","53","15","--","--","--","--","--","0.0","--","Nej","00:13:05","2","--","--","00:25:13","00:27:21","14","70"
Cykling,2025-10-26 17:10:48,false,"Burlöv Cykling","3.51","136","00:10:11","129","137","2.0","--","--","20.7","28.7","13","4","--","--","--","--","--","0.0","--","Nej","00:10:11","1","--","--","00:10:07","00:10:11","9","25"
Konditionspass,2025-10-26 15:02:51,false,"Kondition","0.00","776","01:58:23","107","145","1.5","119","235","--","--","--","--","0.00","--","--","--","--","0.0","5,778","Nej","01:58:23","1","--","--","00:00:00","01:58:23","63","63"
Cykling,2025-10-26 14:49:14,false,"Staffanstorp Cykling","3.60","121","00:09:46.9","123","159","1.8","--","--","22.1","31.9","5","13","--","--","--","--","--","0.0","--","Nej","00:09:46.9","1","--","--","00:09:46","00:09:46.9","8","25"
Löpning,2025-10-26 10:55:19,false,"Svedala Löpning","11.67","897","00:57:31","152","158","4.8","172","215","4:56","3:10","111","102","1.14","7.8","9.1","233","47.4% vänster/52.6% höger","0.0","9,788","Nej","00:03:02.6","12","--","--","00:57:28","00:57:31","25","75"
Löpning,2025-10-24 17:46:47,false,"Staffanstorp - Väcka benen 2 dar innan tävlingen","5.87","512","00:33:33","143","174","3.6","159","186","5:43","3:43","13","12","1.09","--","--","--","--","0.0","5,288","Nej","00:01:00","13","--","--","00:33:31","00:33:33","13","26"
Konditionspass,2025-10-24 07:00:45,false,"Kondition","0.00","466","01:07:37","104","143","1.5","118","235","--","--","--","--","0.00","--","--","--","--","0.0","2,862","Nej","01:07:37","1","--","--","00:00:00","01:07:37","--","--"
Löpning,2025-10-22 17:15:54,false,"Ystad Löpning","8.91","673","00:51:20","137","157","3.5","160","223","5:46","2:02","15","20","1.11","8.1","8.9","264","47.8% vänster/52.2% höger","0.0","7,602","Nej","00:04:36.8","9","--","--","00:47:41","00:51:20","6","18"
Löpning,2025-10-21 17:32:30,false,"Lund Löpning","6.25","765","01:29:34","112","162","2.4","125","240","14:20","3:47","63","68","0.89","13.0","9.9","431","49.5% vänster/50.5% höger","0.0","20","Nej","00:00:06.6","8","--","--","00:52:43","01:29:34","54","74"
Cykling,2025-10-21 07:32:51,false,"Staffanstorp Cykling","8.36","305","00:30:26","112","124","1.8","--","--","16.5","30.8","57","11","--","--","--","--","--","0.0","--","Nej","00:14:18","2","--","--","00:29:22","00:30:26","14","70"
Längdskidåkning klassisk stil,2025-10-20 18:04:21,false,"Lund Längdskidåkning klassisk stil","24.69","1,003","02:01:04","116","138","2.1","74","255","12.2","23.0","108","103","0.00","0.0","11.6","530","41.2% vänster/58.8% höger","0.0","4,732","Nej","00:20:12","5","--","--","01:55:40","02:01:04","31","86"
Cykling,2025-10-20 07:18:12,false,"Staffanstorp Cykling","7.94","372","00:27:46","127","167","2.7","--","--","17.2","29.2","31","11","--","--","--","--","--","0.0","--","Nej","00:11:28","2","--","--","00:26:29","00:27:46","14","44"
Cykling,2025-10-19 16:04:23,false,"Burlöv Cykling","3.54","104","00:10:33","106","113","1.3","--","--","20.1","30.4","15","6","--","--","--","--","--","0.0","--","Nej","00:10:33","1","--","--","00:10:32","00:10:33","8","26"
Konditionspass,2025-10-19 15:01:35,false,"Kondition","0.00","278","00:57:52","85","122","1.1","121","245","--","--","--","--","0.00","--","--","--","--","0.0","3,106","Nej","00:57:52","1","--","--","00:00:00","00:57:52","7","7"
Cykling,2025-10-19 14:47:57,false,"Staffanstorp Cykling","3.57","106","00:09:59.2","110","116","1.3","--","--","21.4","30.0","3","12","--","--","--","--","--","0.0","--","Nej","00:09:59.2","1","--","--","00:09:56","00:09:59.2","8","25"
Löpning,2025-10-18 13:25:05,false,"Staffanstorp Löpning","11.37","781","00:58:34","137","152","3.4","162","179","5:09","3:57","27","27","1.18","7.6","9.0","236","47.0% vänster/53.0% höger","0.0","9,310","Nej","00:00:41.9","22","--","--","00:58:30","00:58:34","15","32"
Cykling,2025-10-17 15:23:05,false,"Lund Cykling","8.31","261","00:22:23","118","131","2.1","--","--","22.3","33.8","7","54","--","--","--","--","--","0.0","--","Nej","00:07:38.0","2","--","--","00:20:46","00:22:23","14","67"
Konditionspass,2025-10-17 07:03:25,false,"Kondition","0.00","316","00:57:14","93","127","1.2","118","226","--","--","--","--","0.00","--","--","--","--","0.0","2,298","Nej","00:57:14","1","--","--","00:00:00","00:57:14","--","--"
Cykling,2025-10-17 06:31:04,false,"Staffanstorp Cykling","8.13","301","00:26:33","118","130","2.0","--","--","18.4","31.4","69","7","--","--","--","--","--","0.0","--","Nej","00:11:58","2","--","--","00:25:49","00:26:33","5","71"
Konditionspass,2025-10-16 20:58:57,false,"Kondition","0.00","381","01:00:03","100","143","1.5","115","235","--","--","--","--","0.00","--","--","--","--","0.0","2,760","Nej","01:00:03","1","--","--","00:00:00","01:00:03","--","--"
Cykling,2025-10-16 18:09:04,false,"Lund Cykling","6.36","215","00:18:40","119","129","1.9","--","--","20.4","29.8","5","34","--","--","--","--","--","0.0","--","Nej","00:03:56.8","2","--","--","00:18:19","00:18:40","14","49"
Cykling,2025-10-16 07:33:44,false,"Staffanstorp Cykling","8.27","256","00:26:49","112","130","1.8","--","--","18.5","32.6","50","4","--","--","--","--","--","0.0","--","Nej","00:12:06","2","--","--","00:26:14","00:26:49","14","71"
Längdskidåkning klassisk stil,2025-10-15 18:02:35,false,"Lund Längdskidåkning klassisk stil","17.06","789","01:48:38","109","149","2.0","87","255","9.4","25.6","106","102","0.00","0.0","9.4","495","48.7% vänster/51.3% höger","0.0","122","Nej","00:13:33","4","--","--","01:20:21","01:48:38","23","71"
Cykling,2025-10-15 16:15:24,false,"Lund Cykling","8.23","317","00:25:21","124","154","2.5","--","--","19.5","32.7","12","59","--","--","--","--","--","0.0","--","Nej","00:10:04","2","--","--","00:24:40","00:25:21","15","67"
Cykling,2025-10-15 07:07:04,false,"Staffanstorp Cykling","11.79","370","00:40:18","110","122","1.6","--","--","17.6","31.5","62","42","--","--","--","--","--","0.0","--","Nej","00:05:57.0","3","--","--","00:38:39","00:40:18","14","81"
Cykling,2025-10-14 19:04:50,false,"Lund Cykling","9.25","248","00:27:55","106","118","1.4","--","--","19.9","29.6","10","54","--","--","--","--","--","0.0","--","Nej","00:11:33","2","--","--","00:26:49","00:27:56","14","70"
Löpning,2025-10-14 17:33:58,false,"Lund Löpning","8.29","790","01:30:03","115","162","2.6","128","252","10:51","2:04","91","101","0.90","10.6","9.3","397","49.3% vänster/50.8% höger","0.0","8,946","Nej","00:07:38.7","9","--","--","01:09:05","01:30:03","52","74"
Cykling,2025-10-14 07:18:54,false,"Staffanstorp Cykling","8.24","491","00:31:15","148","170","3.7","--","--","15.8","29.3","55","8","--","--","--","--","--","0.0","--","Nej","00:13:19","2","--","--","00:29:35","00:31:15","14","71"
Längdskidåkning klassisk stil,2025-10-13 18:01:55,false,"Lund Längdskidåkning klassisk stil","27.20","1,083","02:06:15","123","157","3.0","72","255","12.9","22.7","66","66","0.51","0.9","12.3","569","50.5% vänster/49.5% höger","0.0","4,742","Nej","00:09:53.0","6","--","--","01:58:31","02:06:15","3","35"
Cykling,2025-10-13 16:02:15,false,"Lund Cykling","8.28","328","00:24:24","129","151","2.6","--","--","20.4","34.9","7","54","--","--","--","--","--","0.0","--","Nej","00:09:10.2","2","--","--","00:23:14","00:24:24","14","67"
Cykling,2025-10-13 06:15:32,false,"Staffanstorp Cykling","8.33","320","00:27:10","120","140","2.2","--","--","18.4","30.9","53","6","--","--","--","--","--","0.0","--","Nej","00:12:50","2","--","--","00:26:53","00:27:10","14","71"
Konditionspass,2025-10-12 15:08:37,false,"Kondition","0.00","338","00:51:15","101","139","1.4","120","241","--","--","--","--","0.00","--","--","--","--","0.0","2,744","Nej","00:51:15","1","--","--","00:00:00","00:51:15","--","--"
Längdskidåkning klassisk stil,2025-10-11 10:15:29,false,"Staffanstorp Längdskidåkning klassisk stil","38.10","1,127","03:04:17","103","129","1.3","71","255","12.4","27.1","157","156","0.00","0.0","10.0","545","43.7% vänster/56.3% höger","0.0","6,166","Nej","00:14:41","8","--","--","02:48:59","03:04:17","14","105"
Löpning,2025-10-10 17:05:56,false,"10 x 1000 m intervall","11.35","775","00:59:47","138","155","3.5","159","179","5:16","4:03","28","30","1.17","7.9","9.2","242","47.5% vänster/52.5% höger","0.0","9,386","Nej","00:00:43.9","22","--","--","00:59:41","00:59:47","14","32"
Tennis,2025-10-10 07:04:10,false,"Tennis","0.00","407","01:05:15","103","143","1.3","121","220","--","--","--","--","0.00","--","--","--","--","0.0","2,376","Nej","01:05:15","1","--","--","00:00:00","01:05:15","--","--"
Längdskidåkning klassisk stil,2025-10-08 18:00:23,false,"Lund Längdskidåkning klassisk stil","19.34","217","02:09:14","111","153","1.0","81","255","9.0","25.8","168","167","0.00","0.0","11.2","495","45.0% vänster/55.0% höger","0.0","5,054","Nej","00:25:14","4","--","--","01:29:30","02:09:14","29","69"
Cykling,2025-10-08 16:38:21,false,"Lund Cykling","8.24","228","00:24:01","110","124","1.5","--","--","20.6","34.8","9","57","--","--","--","--","--","0.0","--","Nej","00:08:44.3","2","--","--","00:22:02","00:24:01","14","67"
Cykling,2025-10-07 19:27:36,false,"Lund Cykling","8.96","254","00:26:42","110","122","1.7","--","--","20.1","30.1","7","54","--","--","--","--","--","0.0","--","Nej","00:12:21","2","--","--","00:26:24","00:32:55","14","69"
Löpning,2025-10-07 17:30:03,false,"Lund Löpning","8.97","1,040","01:48:59","121","164","3.2","129","248","12:09","1:55","92","92","0.81","12.5","9.3","388","49.4% vänster/50.6% höger","0.0","8","Nej","00:07:50.8","9","--","--","01:20:15","01:48:59","52","74"
Cykling,2025-10-07 07:36:52,false,"Staffanstorp Cykling","8.24","276","00:26:53","114","127","1.8","--","--","18.4","33.4","49","3","--","--","--","--","--","0.0","--","Nej","00:11:03","2","--","--","00:25:45","00:26:53","14","69"
Längdskidåkning klassisk stil,2025-10-06 18:02:46,false,"Lund Längdskidåkning klassisk stil","23.45","931","02:02:27","113","144","2.0","70","252","11.5","21.0","110","109","0.00","0.0","11.7","532","63.7% vänster/36.3% höger","0.0","4,646","Nej","00:15:56","5","--","--","01:50:58","02:02:27","10","84"
Cykling,2025-10-06 16:28:03,false,"Lund Cykling","8.13","216","00:19:40","115","126","1.9","--","--","24.8","36.4","12","58","--","--","--","--","--","0.0","--","Nej","00:06:38.7","2","--","--","00:19:13","00:19:40","15","66"
Cykling,2025-10-06 07:05:40,false,"Staffanstorp Cykling","8.29","234","00:27:57","104","117","1.3","--","--","17.8","31.9","59","25","--","--","--","--","--","0.0","--","Nej","00:12:51","2","--","--","00:27:32","00:27:57","14","69"
Konditionspass,2025-10-05 15:02:50,false,"Kondition","0.00","473","00:59:58","113","155","1.9","121","248","--","--","--","--","0.00","--","--","--","--","0.0","4,060","Nej","00:59:58","1","--","--","00:00:00","00:59:58","--","--"
Cykling,2025-10-05 14:49:11,false,"Staffanstorp Cykling","2.96","134","00:09:30.3","134","172","2.1","--","--","18.7","30.3","--","13","--","--","--","--","--","0.0","--","Nej","00:09:30.3","1","--","--","00:09:26","00:09:30.3","8","25"
Cykling,2025-10-03 15:35:10,false,"Lund Cykling","8.24","267","00:22:07","122","136","2.2","--","--","22.4","32.7","6","56","--","--","--","--","--","0.0","--","Nej","00:08:18.9","2","--","--","00:21:26","00:22:07","14","67"
Löpning,2025-10-03 11:23:06,false,"Lund Löpning","6.02","364","00:31:22","135","147","3.0","164","174","5:13","4:29","23","19","1.15","8.5","10.1","247","47.3% vänster/52.7% höger","0.0","360","Nej","00:00:05.5","7","--","--","00:31:19","00:31:23","66","90"
Cykling,2025-10-03 07:08:12,false,"Staffanstorp Cykling","8.34","294","00:26:38","117","136","2.1","--","--","18.8","32.0","56","9","--","--","--","--","--","0.0","--","Nej","00:11:54","2","--","--","00:26:23","00:26:38","14","71"
Konditionspass,2025-10-02 20:59:55,false,"Kondition","0.00","499","01:30:47","95","138","1.3","120","240","--","--","--","--","0.00","--","--","--","--","0.0","3,798","Nej","01:30:47","1","--","--","00:00:00","01:30:47","--","--"
Cykling,2025-10-02 16:45:58,false,"Lund Cykling","10.97","461","00:38:02","124","146","2.6","--","--","17.3","31.7","32","77","--","--","--","--","--","0.0","--","Nej","00:02:39.0","3","--","--","00:30:43","00:43:58","7","63"
Cykling,2025-10-02 07:05:03,false,"Staffanstorp Cykling","8.33","232","00:27:12","105","117","1.4","--","--","18.4","32.7","48","--","--","--","--","--","--","0.0","--","Nej","00:12:50","2","--","--","00:27:08","00:27:12","14","70"
Längdskidåkning klassisk stil,2025-10-01 18:01:18,false,"Lund Längdskidåkning klassisk stil","21.83","815","01:35:10","117","167","2.6","108","180","13.8","24.2","71","70","2.13","--","--","--","--","0.0","13,288","Nej","00:01:25.5","8","--","--","01:24:06","01:35:10","14","45"
Cykling,2025-09-30 19:15:34,false,"Lund Cykling","8.88","234","00:23:08","112","132","1.8","--","--","23.0","32.9","17","68","--","--","--","--","--","0.0","--","Nej","00:09:31.9","2","--","--","00:23:06","00:23:08","14","69"
Löpning,2025-09-30 17:23:47,false,"Lund Löpning","8.55","834","01:32:57","113","156","2.7","131","248","10:52","4:13","128","127","0.86","10.1","8.9","385","48.7% vänster/51.3% höger","0.0","114","Nej","00:06:28.4","9","--","--","01:09:25","01:32:57","52","74"
Cykling,2025-09-30 07:36:47,false,"Staffanstorp Cykling","8.39","283","00:28:38","112","126","1.7","--","--","17.6","32.2","52","5","--","--","--","--","--","0.0","--","Nej","00:13:14","2","--","--","00:27:09","00:28:38","14","71"
Längdskidåkning klassisk stil,2025-09-29 18:03:07,false,"Lund Längdskidåkning klassisk stil","25.47","1,102","02:06:06","122","155","2.4","72","255","12.1","25.1","145","145","0.77","15.4","12.5","591","54.5% vänster/45.5% höger","0.0","4,880","Nej","00:02:33.3","6","--","--","01:55:26","02:06:06","26","111"
Cykling,2025-09-29 16:19:53,false,"Lund Cykling","8.29","261","00:22:20","119","136","2.1","--","--","22.3","34.0","9","57","--","--","--","--","--","0.0","--","Nej","00:08:37.1","2","--","--","00:21:37","00:22:20","14","66"
Cykling,2025-09-29 07:12:48,false,"Staffanstorp Cykling","8.19","266","00:25:58","114","122","1.7","--","--","18.9","32.5","51","5","--","--","--","--","--","0.0","--","Nej","00:11:36","2","--","--","00:25:19","00:25:58","14","70"
Cykling,2025-09-28 16:09:43,false,"Burlöv Cykling","3.45","107","00:11:02","107","112","1.3","--","--","18.8","26.1","13","2","--","--","--","--","--","0.0","--","Nej","00:11:02","1","--","--","00:11:00","00:11:02","9","26"
